course_code,course_title,course_units,requisite,section,component,class_num,avail_status,Avail.,availability,open_seat,avail_seat,waitlist,day,time,start_time,end_time,location,instructor,Begin/End Dates
110,Computer Science Principles - The Beauty and Joy of Computing,3,Restriction: Cannot have taken CSC 111 or CSC 112 or CSC 113 or CSC 114 or CSC 116 or CSC 200,1,Lec,9566,R,Reserved79/80,79/80,79,80,,M/W,10:15AM-11:30AM,10:15 AM,11:30 AM,218 111 Lampe Drive,"Price,Thomas William",08/22/22 - 12/05/22
111,Introduction to Computing: Python,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,1,Lec,6668,R,Reserved119/140,119/140,119,140,,T,3:00PM-4:50PM,3:00 PM,4:50 PM,3712 Bostian Hall,"Jiao,Shuyin",08/22/22 - 12/05/22
111,Introduction to Computing: Python,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,201,Lab,6699,O,Open15/35,15/35,15,35,,W,1:30PM-4:15PM,1:30 PM,4:15 PM,255 111 Lampe Drive,"Jiao,Shuyin",08/22/22 - 12/05/22
111,Introduction to Computing: Python,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,202,Lab,6700,O,Open34/35,34/35,34,35,,W,4:30PM-7:15PM,4:30 PM,7:15 PM,255 111 Lampe Drive,"Jiao,Shuyin",08/22/22 - 12/05/22
111,Introduction to Computing: Python,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,203,Lab,6701,O,Open35/35,35/35,35,35,,Th,7:30PM-10:15PM,7:30 PM,10:15 PM,255 111 Lampe Drive,"Jiao,Shuyin",08/22/22 - 12/05/22
111,Introduction to Computing: Python,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,204,Lab,8956,O,Open35/35,35/35,35,35,,F,1:30PM-4:15PM,1:30 PM,4:15 PM,255 111 Lampe Drive,"Jiao,Shuyin",08/22/22 - 12/05/22
113,Introduction to Computing - MATLAB,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,1,Lec,5636,O,Open240/255,240/255,240,255,,T,3:00PM-4:50PM,3:00 PM,4:50 PM,232A Withers Hall,"Battestilli,Tzvetelina",08/22/22 - 12/05/22
113,Introduction to Computing - MATLAB,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,201,Lab,5637,O,Open38/40,38/40,38,40,,W,6:00PM-8:45PM,6:00 PM,8:45 PM,200 111 Lampe Drive,"Battestilli,Tzvetelina",08/22/22 - 12/05/22
113,Introduction to Computing - MATLAB,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,202,Lab,5639,O,Open35/35,35/35,35,35,,W,7:30PM-10:15PM,7:30 PM,10:15 PM,255 111 Lampe Drive,"Battestilli,Tzvetelina",08/22/22 - 12/05/22
113,Introduction to Computing - MATLAB,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,203,Lab,5640,O,Open30/35,30/35,30,35,,Th,10:15AM-1:00PM,10:15 AM,1:00 PM,255 111 Lampe Drive,"Battestilli,Tzvetelina",08/22/22 - 12/05/22
