Course code,Course title,Units,Requisite,Sections
110,Computer Science Principles - The Beauty and Joy of Computing, 3,Restriction: Cannot have taken CSC 111 or CSC 112 or CSC 113 or CSC 114 or CSC 116 or CSC 200,"[{'Section': '001', 'Component': 'Lec', 'Class #': '9566', 'Avail.': 'Reserved73/80', 'Day/Time': 'M/W 10:15AM-11:30AM', 'Location': '218 111 Lampe Drive', 'Instructor': 'Price,Thomas William', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': '  Seat Info:\n\n\n\n\n\n\n\n'}]"
111,Introduction to Computing: Python, 3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,"[{'Section': '001', 'Component': 'Lec', 'Class #': '6668', 'Avail.': 'Reserved69/140', 'Day/Time': 'T 3:00PM-4:50PM', 'Location': '3712 Bostian Hall', 'Instructor': 'Jiao,Shuyin', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes Seat Info:\n\n\n\n\n\n\n\n'}, {'Section': '201', 'Component': 'Lab', 'Class #': '6699', 'Avail.': 'Closed0/35', 'Day/Time': 'W 1:30PM-4:15PM', 'Location': '255 111 Lampe Drive', 'Instructor': 'Jiao,Shuyin', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes\n\n\n\n\n\n\n\n'}, {'Section': '202', 'Component': 'Lab', 'Class #': '6700', 'Avail.': 'Open12/35', 'Day/Time': 'W 4:30PM-7:15PM', 'Location': '255 111 Lampe Drive', 'Instructor': 'Jiao,Shuyin', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes\n\n\n\n\n\n\n\n'}, {'Section': '203', 'Component': 'Lab', 'Class #': '6701', 'Avail.': 'Open31/35', 'Day/Time': 'Th 7:30PM-10:15PM', 'Location': '255 111 Lampe Drive', 'Instructor': 'Jiao,Shuyin', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes\n\n\n\n\n\n\n\n'}, {'Section': '204', 'Component': 'Lab', 'Class #': '8956', 'Avail.': 'Open26/35', 'Day/Time': 'F 1:30PM-4:15PM', 'Location': '255 111 Lampe Drive', 'Instructor': 'Jiao,Shuyin', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes\n\n\n\n\n\n\n\n'}]"
113,Introduction to Computing - MATLAB, 3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,"[{'Section': '001', 'Component': 'Lec', 'Class #': '5636', 'Avail.': 'Open187/255', 'Day/Time': 'T 3:00PM-4:50PM', 'Location': '232A Withers Hall', 'Instructor': 'Battestilli,Tzvetelina', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes Seat Info:\n\n\n\n\n\n\n\n'}, {'Section': '201', 'Component': 'Lab', 'Class #': '5637', 'Avail.': 'Open33/40', 'Day/Time': 'W 6:00PM-8:45PM', 'Location': '200 111 Lampe Drive', 'Instructor': 'Battestilli,Tzvetelina', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes\n\n\n\n\n\n\n\n'}, {'Section': '202', 'Component': 'Lab', 'Class #': '5639', 'Avail.': 'Open30/35', 'Day/Time': 'W 7:30PM-10:15PM', 'Location': '255 111 Lampe Drive', 'Instructor': 'Battestilli,Tzvetelina', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes\n\n\n\n\n\n\n\n'}, {'Section': '203', 'Component': 'Lab', 'Class #': '5640', 'Avail.': 'Open23/35', 'Day/Time': 'Th 10:15AM-1:00PM', 'Location': '255 111 Lampe Drive', 'Instructor': 'Battestilli,Tzvetelina', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes\n\n\n\n\n\n\n\n'}, {'Section': '204', 'Component': 'Lab', 'Class #': '5641', 'Avail.': 'Closed0/35', 'Day/Time': 'Th 1:30PM-4:15PM', 'Location': '255 111 Lampe Drive', 'Instructor': 'Battestilli,Tzvetelina', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes\n\n\n\n\n\n\n\n'}, {'Section': '205', 'Component': 'Lab', 'Class #': '6703', 'Avail.': 'Open29/35', 'Day/Time': 'Th 4:30PM-7:15PM', 'Location': '255 111 Lampe Drive', 'Instructor': 'Battestilli,Tzvetelina', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes\n\n\n\n\n\n\n\n'}, {'Section': '206', 'Component': 'Lab', 'Class #': '7406', 'Avail.': 'Open39/40', 'Day/Time': 'Th 6:00PM-8:45PM', 'Location': '200 111 Lampe Drive', 'Instructor': 'Battestilli,Tzvetelina', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes\n\n\n\n\n\n\n\n'}, {'Section': '207', 'Component': 'Lab', 'Class #': '7890', 'Avail.': 'Open33/35', 'Day/Time': 'F 10:15AM-1:00PM', 'Location': '255 111 Lampe Drive', 'Instructor': 'Battestilli,Tzvetelina', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes\n\n\n\n\n\n\n\n'}]"
116,Introduction to Computing - Java, 3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,"[{'Section': '001', 'Component': 'Lec', 'Class #': '1915', 'Avail.': 'Open39/40', 'Day/Time': 'M/W 8:30AM-10:20AM', 'Location': '200 111 Lampe Drive', 'Instructor': 'Staff', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes Seat Info:\n\n\n\n\n\n\n\n'}, {'Section': '002', 'Component': 'Lec', 'Class #': '5622', 'Avail.': 'Reserved35/40', 'Day/Time': 'M/W 10:40AM-12:30PM', 'Location': '200 111 Lampe Drive', 'Instructor': 'Balik,Suzanne M', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes Seat Info:\n\n\n\n\n\n\n\n'}, {'Section': '003', 'Component': 'Lec', 'Class #': '1916', 'Avail.': 'Reserved38/40', 'Day/Time': 'M/W 12:50PM-2:40PM', 'Location': '200 111 Lampe Drive', 'Instructor': 'Akram,Bita ', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes Seat Info:\n\n\n\n\n\n\n\n'}, {'Section': '004', 'Component': 'Lec', 'Class #': '5976', 'Avail.': 'Reserved34/40', 'Day/Time': 'M/W 3:00PM-4:50PM', 'Location': '200 111 Lampe Drive', 'Instructor': 'Balik,Suzanne M', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes Seat Info:\n\n\n\n\n\n\n\n'}, {'Section': '005', 'Component': 'Lec', 'Class #': '1917', 'Avail.': 'Open60/60', 'Day/Time': 'T/Th 8:30AM-10:20AM', 'Location': '341 111 Lampe Drive', 'Instructor': 'Schmidt,Jessica Young', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes Seat Info:\n\n\n\n\n\n\n\n'}, {'Section': '006', 'Component': 'Lec', 'Class #': '1918', 'Avail.': 'Open59/60', 'Day/Time': 'T/Th 10:40AM-12:30PM', 'Location': '341 111 Lampe Drive', 'Instructor': 'Schmidt,Jessica Young', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes Seat Info:\n\n\n\n\n\n\n\n'}, {'Section': '601', 'Component': 'Lec', 'Class #': '1919', 'Avail.': 'Open50/50', 'Day/Time': ' TBD', 'Location': 'Distance Education - Online', 'Instructor': 'Glatz,Michelle Anne', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}]"
216,Software Development Fundamentals, 3,Prerequisite: CSC 116 with a grade of C or better; Corequisite: CSC 217,"[{'Section': '001', 'Component': 'Lec', 'Class #': '1920', 'Avail.': 'Waitlist0/85 (5)', 'Day/Time': 'M/W 10:15AM-11:30AM', 'Location': '2201 Engineering Building 3', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '002', 'Component': 'Lec', 'Class #': '1921', 'Avail.': 'Open263/350', 'Day/Time': 'T/Th 11:45AM-1:00PM', 'Location': '1103 James B Hunt Jr Centenni', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '601', 'Component': 'Lec', 'Class #': '10072', 'Avail.': 'Open40/40', 'Day/Time': ' TBD', 'Location': 'Distance Education - Online', 'Instructor': 'Heckman,Sarah SmithTetterton,James C', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}]"
217,Software Development Fundamentals Lab, 1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,"[{'Section': '200', 'Component': 'Lab', 'Class #': '11775', 'Avail.': 'Open23/25', 'Day/Time': 'M 8:30AM-10:20AM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '201', 'Component': 'Lab', 'Class #': '11859', 'Avail.': 'Open22/25', 'Day/Time': 'M 10:40AM-12:30PM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '202', 'Component': 'Lab', 'Class #': '9883', 'Avail.': 'Open15/25', 'Day/Time': 'M 12:50PM-2:40PM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '203', 'Component': 'Lab', 'Class #': '9884', 'Avail.': 'Closed0/25', 'Day/Time': 'M 3:00PM-4:50PM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '204', 'Component': 'Lab', 'Class #': '9885', 'Avail.': 'Open7/25', 'Day/Time': 'M 5:20PM-7:10PM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '210', 'Component': 'Lab', 'Class #': '9886', 'Avail.': 'Open11/25', 'Day/Time': 'T 8:30AM-10:20AM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '211', 'Component': 'Lab', 'Class #': '11860', 'Avail.': 'Open10/25', 'Day/Time': 'T 10:40AM-12:30PM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '212', 'Component': 'Lab', 'Class #': '9887', 'Avail.': 'Open24/25', 'Day/Time': 'T 12:50PM-2:40PM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '213', 'Component': 'Lab', 'Class #': '9888', 'Avail.': 'Open1/25', 'Day/Time': 'T 3:00PM-4:50PM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '214', 'Component': 'Lab', 'Class #': '9889', 'Avail.': 'Open24/25', 'Day/Time': 'T 5:20PM-7:10PM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '220', 'Component': 'Lab', 'Class #': '9890', 'Avail.': 'Open21/25', 'Day/Time': 'W 8:30AM-10:20AM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '221', 'Component': 'Lab', 'Class #': '11861', 'Avail.': 'Open21/25', 'Day/Time': 'W 10:40AM-12:30PM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '222', 'Component': 'Lab', 'Class #': '9891', 'Avail.': 'Open23/25', 'Day/Time': 'W 12:50PM-2:40PM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '223', 'Component': 'Lab', 'Class #': '9892', 'Avail.': 'Closed0/25', 'Day/Time': 'W 3:00PM-4:50PM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '224', 'Component': 'Lab', 'Class #': '9893', 'Avail.': 'Open15/25', 'Day/Time': 'W 5:20PM-7:10PM', 'Location': '1221 Engineering Building 2', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '231', 'Component': 'Lab', 'Class #': '9882', 'Avail.': 'Open17/30', 'Day/Time': ' TBD', 'Location': '', 'Instructor': 'Heckman,Sarah Smith', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '601', 'Component': 'Lab', 'Class #': '10073', 'Avail.': 'Open40/40', 'Day/Time': ' TBD', 'Location': 'Distance Education - Online', 'Instructor': 'Heckman,Sarah SmithTetterton,James C', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}]"
226,Discrete Mathematics for Computer Scientists, 3,"Propositional logic and predicate calculus. Logic gates and circuits. Methods of proof. Mathematical induction. Recursive definitions and functions. Solving recurrences. Asymptotic growth of functions. Elementary combinatorics and probability. Introduction to graph theory. Binary relations, including posets and equivalence relations. This course assumes knowledge of topics covered in high-school Algebra I and II. Most seats reserved for CSC and CPE majors and Computer Programming minors.","[{'Section': '001', 'Component': 'Lec', 'Class #': '1922', 'Avail.': 'Open60/200', 'Day/Time': 'M/W 11:45AM-1:00PM', 'Location': '1025 Engineering Building 2', 'Instructor': 'Barnes,Tiffany M', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '002', 'Component': 'Lec', 'Class #': '1923', 'Avail.': 'Open106/200', 'Day/Time': 'M/W 1:30PM-2:45PM', 'Location': '1025 Engineering Building 2', 'Instructor': 'Barnes,Tiffany M', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '601', 'Component': 'Lec', 'Class #': '1924', 'Avail.': 'Open40/40', 'Day/Time': ' TBD', 'Location': 'Distance Education - Online', 'Instructor': 'Watkins,Alan W', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}]"
230,C and Software Tools, 3,Prerequisite: CSC 216 with a C or better.,"[{'Section': '001', 'Component': 'Lec', 'Class #': '1925', 'Avail.': 'Waitlist0/110 (2)', 'Day/Time': 'M/W 3:00PM-4:15PM', 'Location': '1025 Engineering Building 2', 'Instructor': 'Sturgill,David Brian', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '002', 'Component': 'Lec', 'Class #': '8527', 'Avail.': 'Open15/110', 'Day/Time': 'T/Th 3:00PM-4:15PM', 'Location': '1103 James B Hunt Jr Centenni', 'Instructor': 'Balik,Suzanne M', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '601', 'Component': 'Lec', 'Class #': '4748', 'Avail.': 'Open35/35', 'Day/Time': ' TBD', 'Location': 'Distance Education - Online', 'Instructor': 'Sturgill,David Brian', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}]"
236,Computer Organization and Assembly Language for Computer Scientists, 3,Prerequisite: CSC 230 or ECE 209,"[{'Section': '001', 'Component': 'Lec', 'Class #': '1926', 'Avail.': 'Reserved17/60', 'Day/Time': 'T/Th 4:30PM-5:45PM', 'Location': '1005 Engineering Building I', 'Instructor': 'Staff', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes  Seat Info:\n\n\n\n\n\n\n\n'}]"
246,Concepts and Facilities of Operating Systems for Computer Scientists, 3,Prerequisite: CSC 230 or ECE 209,"[{'Section': '001', 'Component': 'Lec', 'Class #': '1928', 'Avail.': 'Open5/120', 'Day/Time': 'M/W 4:30PM-5:45PM', 'Location': '1231 Engineering Building 2', 'Instructor': 'Jiao,Shuyin', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '002', 'Component': 'Lec', 'Class #': '7421', 'Avail.': 'Waitlist0/110 (5)', 'Day/Time': 'T/Th 3:00PM-4:15PM', 'Location': '1011 Engineering Building I', 'Instructor': 'Sturgill,David Brian', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}, {'Section': '601', 'Component': 'Lec', 'Class #': '1929', 'Avail.': 'Open30/30', 'Day/Time': ' TBD', 'Location': 'Distance Education - Online', 'Instructor': 'Watkins,Alan W', 'Begin/End Dates': '08/22/22 - 12/05/22', 'Topic': '', 'Notes': ' class notes \n\n\n\n\n\n\n\n'}]"
