,index,Course code,Course title,Units,Requisite,Section,Component,Class #,Avail.,Day/Time,Location,Instructor,Begin/End Dates
0,0,110,Computer Science Principles - The Beauty and Joy of,3,Restriction: Cannot have taken CSC 111 or CSC 112 or CSC 113 or CSC 114 or CSC 116 or CSC 200,001,Lec,9566,Reserved79/80,M/W 10:15AM-11:30AM,218 111 Lampe Drive,"Price,Thomas William",08/22/22 - 12/05/22
1,0,111,Introduction to Computing:,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,001,Lec,6668,Reserved119/140,T 3:00PM-4:50PM,3712 Bostian Hall,"Jiao,Shuyin",08/22/22 - 12/05/22
2,0,111,Introduction to Computing:,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,201,Lab,6699,Open15/35,W 1:30PM-4:15PM,255 111 Lampe Drive,"Jiao,Shuyin",08/22/22 - 12/05/22
3,0,111,Introduction to Computing:,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,202,Lab,6700,Open34/35,W 4:30PM-7:15PM,255 111 Lampe Drive,"Jiao,Shuyin",08/22/22 - 12/05/22
4,0,111,Introduction to Computing:,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,203,Lab,6701,Open35/35,Th 7:30PM-10:15PM,255 111 Lampe Drive,"Jiao,Shuyin",08/22/22 - 12/05/22
5,0,111,Introduction to Computing:,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,204,Lab,8956,Open35/35,F 1:30PM-4:15PM,255 111 Lampe Drive,"Jiao,Shuyin",08/22/22 - 12/05/22
6,0,113,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,001,Lec,5636,Open240/255,T 3:00PM-4:50PM,232A Withers Hall,"Battestilli,Tzvetelina",08/22/22 - 12/05/22
7,0,113,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,201,Lab,5637,Open38/40,W 6:00PM-8:45PM,200 111 Lampe Drive,"Battestilli,Tzvetelina",08/22/22 - 12/05/22
8,0,113,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,202,Lab,5639,Open35/35,W 7:30PM-10:15PM,255 111 Lampe Drive,"Battestilli,Tzvetelina",08/22/22 - 12/05/22
9,0,113,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,203,Lab,5640,Open30/35,Th 10:15AM-1:00PM,255 111 Lampe Drive,"Battestilli,Tzvetelina",08/22/22 - 12/05/22
10,0,113,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,204,Lab,5641,Open29/35,Th 1:30PM-4:15PM,255 111 Lampe Drive,"Battestilli,Tzvetelina",08/22/22 - 12/05/22
11,0,113,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,205,Lab,6703,Open33/35,Th 4:30PM-7:15PM,255 111 Lampe Drive,"Battestilli,Tzvetelina",08/22/22 - 12/05/22
12,0,113,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,206,Lab,7406,Open40/40,Th 6:00PM-8:45PM,200 111 Lampe Drive,"Battestilli,Tzvetelina",08/22/22 - 12/05/22
13,0,113,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,207,Lab,7890,Open35/35,F 10:15AM-1:00PM,255 111 Lampe Drive,"Battestilli,Tzvetelina",08/22/22 - 12/05/22
14,0,116,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,001,Lec,1915,Open40/40,M/W 8:30AM-10:20AM,200 111 Lampe Drive,Staff,08/22/22 - 12/05/22
15,0,116,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,002,Lec,5622,Open39/40,M/W 10:40AM-12:30PM,200 111 Lampe Drive,"Balik,Suzanne M",08/22/22 - 12/05/22
16,0,116,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,003,Lec,1916,Open40/40,M/W 12:50PM-2:40PM,200 111 Lampe Drive,"Akram,Bita ",08/22/22 - 12/05/22
17,0,116,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,004,Lec,5976,Open38/40,M/W 3:00PM-4:50PM,200 111 Lampe Drive,"Balik,Suzanne M",08/22/22 - 12/05/22
18,0,116,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,005,Lec,1917,Open60/60,T/Th 8:30AM-10:20AM,341 111 Lampe Drive,"Schmidt,Jessica Young",08/22/22 - 12/05/22
19,0,116,Introduction to Computing -,3,Co-requisite: E 115 or COS 100 and MA 121 or MA 131 or MA 141,006,Lec,1918,Open60/60,T/Th 10:40AM-12:30PM,341 111 Lampe Drive,"Schmidt,Jessica Young",08/22/22 - 12/05/22
